asterism,member,resolved_object,ra_h,dec_deg,mag,coordinate_source,coordinate_source_id,magnitude_source,magnitude_source_id,override
Scorpius's Fishhook,Nu Scorpii,Jabbah,16.1999260000,-19.4607080000,4.0,Pinned HYG v4.1,HIP 79374,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 79374,
Scorpius's Fishhook,Sigma Scorpii,Alniyat,16.3531430000,-25.5927960000,2.9,Pinned HYG v4.1,HIP 80112,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 80112,
Circlet of Pisces,Theta Piscium,Theta Piscium,23.4661380000,6.3789920000,4.27,Pinned HYG v4.1,HIP 115830,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 115830,
Circlet of Pisces,7 Piscium,7 Piscium,23.3390510000,5.3813070000,5.05,Pinned HYG v4.1,HIP 115227,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 115227,
Circlet of Pisces,Gamma Piscium,Gamma Piscium,23.2860940000,3.2822890000,3.7,Pinned HYG v4.1,HIP 114971,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 114971,
Circlet of Pisces,Kappa Piscium,Kappa Piscium,23.4488760000,1.2556080000,4.95,Pinned HYG v4.1,HIP 115738,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 115738,
Circlet of Pisces,Lambda Piscium,Lambda Piscium,23.7007790000,1.7800410000,4.49,Pinned HYG v4.1,HIP 116928,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 116928,
Circlet of Pisces,TX Piscium,TX Piscium,23.7731990000,3.4868110000,4.95,Pinned HYG v4.1; positional cross-match 0.000 arcsec from CDS Sesame/SIMBAD *  19 Psc,HIP 117245,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 117245,
Circlet of Pisces,Iota Piscium,Iota Piscium,23.6658440000,5.6262920000,4.13,Pinned HYG v4.1,HIP 116771,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 116771,
Head of Cetus,Alpha Ceti,Menkar,3.0379920000,4.0897340000,2.54,Star Almanack expanded-bayer-stars.csv,HIP 14135,Star Almanack expanded-bayer-stars.csv,HIP 14135,
Head of Cetus,Gamma Ceti,Kaffaljidhma,2.7216780000,3.2358180000,3.47,Pinned HYG v4.1,HIP 12706,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 12706,
Head of Cetus,Xi Ceti,Xi2 Ceti,2.4693170000,8.4600540000,4.3,Pinned HYG v4.1; positional cross-match 0.236 arcsec from CDS Sesame/SIMBAD * ksi02 Cet,HIP 11484,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 11484,Xi2 Ceti
Head of Cetus,Mu Ceti,HD 17094,2.7490390000,10.1141460000,4.27,Pinned HYG v4.1,HIP 12828,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 12828,HD 17094
Head of Cetus,Lambda Ceti,Lambda Ceti,2.9952500000,8.9073650000,4.71,Pinned HYG v4.1,HIP 13954,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 13954,
Hyades / V of Taurus,Aldebaran,Aldebaran,4.5986770000,16.5093010000,0.87,Star Almanack expanded-bayer-stars.csv,HIP 21421,Star Almanack expanded-bayer-stars.csv,HIP 21421,
