hip,ra_h,dec_deg
21060,4.5139160253,-44.9537435100
21248,4.5585081933,-29.7658318600
21281,4.5665884560,-55.0450055900
21393,4.5925199160,-30.5623104900
21421,4.5986667967,16.5097616400
21444,4.6053168287,-3.3524480000
21770,4.6760619713,-41.8635703400
21861,4.7009573020,-37.1447661600
21881,4.7040843013,22.9569754500
22109,4.7583725093,-3.2546246500
22449,4.8305939567,6.9612474400
22509,4.8435339620,8.9002525800
22549,4.8534350047,5.6051014600
22783,4.9008362833,66.3426602900
22797,4.9041932333,2.4406714900
22845,4.9149178133,10.1511451100
22957,4.9395336327,13.5145775500
23015,4.9498933987,33.1661353700
23040,4.9547834500,53.7520828900
23123,4.9758063500,1.7140350600
23416,5.0328150047,43.8233139700
23453,5.0413000167,41.0758895300
23522,5.0569714667,60.4422814400
23595,5.0734199313,-35.4828705700
23607,5.0761495467,15.4041805900
23685,5.0910144700,-22.3708567300
23693,5.0918584347,-57.4729892800
23767,5.1085747347,41.2346407400
23875,5.1308427640,-5.0862628200
24305,5.2155203067,-16.2054290100
24327,5.2205236147,-12.9412883300
24436,5.2422975687,-8.2016391900
24608,5.2781376780,45.9990292700
24845,5.3262572113,-13.1767769800
25281,5.4079491827,-2.3971384400
25336,5.4188522773,6.3497345100
25428,5.4381938693,28.6078734600
25606,5.4707573140,-20.7592321400
25859,5.5202043000,-35.4704359200
25930,5.5334443747,-0.2990934000
25985,5.5455038653,-17.8222922700
26069,5.5604212087,-62.4898558500
26207,5.5856326953,9.9341629400
26221,5.5879072420,-5.3896962400
26237,5.5897671293,-4.8383404500
26241,5.5905503167,-5.9098998400
26311,5.6035590480,-1.2019172500
26451,5.6274122980,21.1425929900
26634,5.6608166500,-34.0740494100
26727,5.6793124480,-1.9425784100
27072,5.7411041607,-22.4474866300
27100,5.7462275193,-65.7355408000
27288,5.7825971520,-14.8219471700
27321,5.7880787027,-51.0667132900
27366,5.7959410940,-9.6696018600
27530,5.8304379993,-56.1664886000
27628,5.8493202267,-35.7692922500
27654,5.8553202287,-20.8775137600
27890,5.9016389173,-63.0910209600
27913,5.9064122033,20.2764149800
27989,5.9195247740,7.4070363400
28103,5.9400884180,-14.1680380500
28328,5.9857751460,-42.8151076100
28358,5.9920973147,54.2849819700
28360,5.9921581740,44.9474349200
28380,5.9953439313,37.2127640900
28614,6.0397195487,9.6473675600
28716,6.0653287667,20.1384586500
28734,6.0686712600,23.2636320700
28910,6.1025927813,-14.9352862900
29038,6.1262005160,14.7685231800
29426,6.1989991040,14.2088142500
29651,6.2475934627,-6.2747273700
29655,6.2479713013,22.5068237600
29997,6.3141055053,69.3200343000
30060,6.3270529987,59.0109051800
30277,6.3685680980,-33.4362725100
30324,6.3783298333,-17.9559165800
30343,6.3826642013,22.5138502700
30419,6.3961382453,4.5928388100
30438,6.3991918420,-52.6957179900
30867,6.4802983653,-7.0330504200
30883,6.4827195740,20.2121672000
31216,6.5483971053,7.3329792100
31592,6.6113885887,-19.2557092800
31681,6.6285284273,16.3994148200
31685,6.6293532460,-43.1959239400
31978,6.6829614007,9.8957602100
32246,6.7322027253,25.1311553100
32349,6.7525694033,-16.7131430600
32362,6.7548426533,12.8960551300
32578,6.7976824527,2.4121891400
32607,6.8032047560,-61.9419798800
33018,6.8798166867,33.9613698500
33152,6.9022096787,-24.1842229600
33160,6.9031890887,-12.0385927300
33347,6.9356184240,-17.0542467500
33449,6.9546107013,58.4230597300
33579,6.9770963007,-28.9720893100
33694,7.0010688800,76.9774415200
34045,7.0626369953,-15.6332587600
34088,7.0684820527,20.5702993900
34444,7.1398572353,-26.3932077600
34481,7.1457845887,-70.4991943500
34693,7.1856643367,30.2452806500
34769,7.1977389907,-0.4927805600
35228,7.2805085627,-67.9571724800
35264,7.2857122660,-37.0974868900
35350,7.3015574413,16.5404752600
35550,7.3353859267,21.9823394100
35904,7.4015847360,-29.3031197900
36046,7.4287989140,27.7982856100
36145,7.4452391507,49.2116448900
36188,7.4525200807,8.2894089300
36850,7.5766679320,31.8886364500
36917,7.5897047867,-28.3692779800
36962,7.5987145220,26.8960034300
37229,7.6471892480,-26.8038924000
37279,7.6551494627,5.2275076700
37447,7.6874657413,-9.5510831500
37677,7.7301311440,-28.9548352000
37740,7.7407968247,24.3981292900
37826,7.7553788420,28.0263103100
38070,7.8014374707,-25.9371805400
38089,7.8056243513,-47.0775319900
38170,7.8215718727,-24.8597840100
38827,7.9463171527,-52.9824006200
39429,8.0597417073,-40.0031884600
39757,8.1257505993,-24.3044367700
39794,8.1321779980,-68.6171364700
39863,8.1432382413,-2.9837764900
39953,8.1588764847,-47.3366117700
40526,8.2752634007,9.1856629500
40702,8.3086852333,-76.9199825100
41037,8.3752401993,-59.5095382900
41075,8.3805916960,43.1883723300
